,req_id,run,redundancy,comprehensiveness,team
0,CrisisFACTS-003-r5,llama,0.45,0.14705882352941177,
1,CrisisFACTS-003-r5,nm-gpt35-bm25,0.225,0.08823529411764706,
2,CrisisFACTS-003-r5,Human_Info_Lab-FM-A,0.275,0.08823529411764706,
3,CrisisFACTS-003-r5,nm-gpt35,0.775,0.25,
4,CrisisFACTS-003-r5,V-TorontoMU_USE_4,0.1,0.04411764705882353,
5,CrisisFACTS-003-r5,Human_Info_Lab-FM-B,0.275,0.10294117647058823,
6,CrisisFACTS-003-r5,nut-kslab01,0.6,0.19117647058823528,
7,CrisisFACTS-003-r5,IRLabIITBHU_DFReeKLIM_1,0.575,0.17647058823529413,
8,CrisisFACTS-003-r5,Siena.WikiTrigrams1,0.425,0.1323529411764706,
9,CrisisFACTS-003-r5,baseline.v2,0.575,0.17647058823529413,
10,CrisisFACTS-003-r5,Thesis_Retriver,0.5526315789473685,0.16176470588235295,thesis.v1
11,CrisisFACTS-003-r5,baseline.v1,0.525,0.17647058823529413,
12,CrisisFACTS-003-r5,Siena.FactTrigrams1,0.55,0.17647058823529413,
13,CrisisFACTS-003-r5,IRLabIITBHU_BM25_1,0.425,0.1323529411764706,
14,CrisisFACTS-003-r6,nm-gpt35-bm25,0.15789473684210525,0.047619047619047616,
15,CrisisFACTS-003-r6,V-TorontoMU_USE_4,0.1,0.031746031746031744,
16,CrisisFACTS-003-r6,Siena.FactTrigrams1,0.325,0.1111111111111111,
17,CrisisFACTS-003-r6,Siena.WikiTrigrams1,0.5,0.15873015873015872,
18,CrisisFACTS-003-r6,Human_Info_Lab-FM-A,0.175,0.07936507936507936,
19,CrisisFACTS-003-r6,Human_Info_Lab-FM-B,0.375,0.12698412698412698,
20,CrisisFACTS-003-r6,llama,0.35,0.1111111111111111,
21,CrisisFACTS-003-r6,nm-gpt35,0.6944444444444444,0.2222222222222222,
22,CrisisFACTS-003-r6,Thesis_Retriver,0.525,0.1746031746031746,thesis.v1
23,CrisisFACTS-003-r6,baseline.v1,0.5263157894736842,0.20634920634920634,
24,CrisisFACTS-003-r6,nut-kslab01,0.5789473684210527,0.2222222222222222,
25,CrisisFACTS-003-r6,IRLabIITBHU_DFReeKLIM_1,0.525,0.1746031746031746,
26,CrisisFACTS-003-r6,baseline.v2,0.525,0.1746031746031746,
27,CrisisFACTS-003-r6,IRLabIITBHU_BM25_1,0.5,0.1746031746031746,
28,CrisisFACTS-003-r7,nm-gpt35-bm25,0.4,0.09195402298850575,
29,CrisisFACTS-003-r7,Human_Info_Lab-FM-B,0.425,0.10344827586206896,
30,CrisisFACTS-003-r7,V-TorontoMU_USE_4,0.2,0.04597701149425287,
31,CrisisFACTS-003-r7,IRLabIITBHU_BM25_1,0.525,0.12643678160919541,
32,CrisisFACTS-003-r7,Thesis_Retriver,0.75,0.1724137931034483,thesis.v1
33,CrisisFACTS-003-r7,baseline.v2,0.7,0.16091954022988506,
34,CrisisFACTS-003-r7,IRLabIITBHU_DFReeKLIM_1,0.7,0.16091954022988506,
35,CrisisFACTS-003-r7,nm-gpt35,0.7631578947368421,0.1839080459770115,
36,CrisisFACTS-003-r7,Human_Info_Lab-FM-A,0.425,0.10344827586206896,
37,CrisisFACTS-003-r7,llama,0.3157894736842105,0.06896551724137931,
38,CrisisFACTS-003-r7,Siena.FactTrigrams1,0.4166666666666667,0.09195402298850575,
39,CrisisFACTS-003-r7,Siena.WikiTrigrams1,0.7368421052631579,0.16091954022988506,
40,CrisisFACTS-003-r7,nut-kslab01,0.9,0.20689655172413793,
41,CrisisFACTS-003-r7,baseline.v1,0.85,0.19540229885057472,
42,CrisisFACTS-003-r8,baseline.v1,0.7105263157894737,0.15730337078651685,
43,CrisisFACTS-003-r8,Thesis_Retriver,0.575,0.1348314606741573,thesis.v1
44,CrisisFACTS-003-r8,nm-gpt35-bm25,0.5,0.12359550561797752,
45,CrisisFACTS-003-r8,nut-kslab01,0.6578947368421053,0.14606741573033707,
46,CrisisFACTS-003-r8,baseline.v2,0.5263157894736842,0.11235955056179775,
47,CrisisFACTS-003-r8,IRLabIITBHU_BM25_1,0.4473684210526316,0.10112359550561797,
48,CrisisFACTS-003-r8,IRLabIITBHU_DFReeKLIM_1,0.5263157894736842,0.11235955056179775,
49,CrisisFACTS-003-r8,llama,0.35,0.0898876404494382,
50,CrisisFACTS-003-r8,Human_Info_Lab-FM-A,0.325,0.07865168539325842,
51,CrisisFACTS-003-r8,V-TorontoMU_USE_4,0.2,0.056179775280898875,
52,CrisisFACTS-003-r8,Siena.WikiTrigrams1,0.75,0.16853932584269662,
53,CrisisFACTS-003-r8,Human_Info_Lab-FM-B,0.675,0.15730337078651685,
54,CrisisFACTS-003-r8,nm-gpt35,0.868421052631579,0.21348314606741572,
55,CrisisFACTS-003-r8,Siena.FactTrigrams1,0.5789473684210527,0.12359550561797752,
56,CrisisFACTS-003-r9,V-TorontoMU_USE_4,0.15,0.04285714285714286,
57,CrisisFACTS-003-r9,nm-gpt35-bm25,0.4444444444444444,0.14285714285714285,
58,CrisisFACTS-003-r9,Siena.WikiTrigrams1,0.5555555555555556,0.14285714285714285,
59,CrisisFACTS-003-r9,nm-gpt35,0.6875,0.17142857142857143,
60,CrisisFACTS-003-r9,Thesis_Retriver,0.475,0.14285714285714285,thesis.v1
61,CrisisFACTS-003-r9,llama,0.5,0.14285714285714285,
62,CrisisFACTS-003-r9,Human_Info_Lab-FM-B,0.675,0.21428571428571427,
63,CrisisFACTS-003-r9,Human_Info_Lab-FM-A,0.175,0.05714285714285714,
64,CrisisFACTS-003-r9,baseline.v1,0.5263157894736842,0.14285714285714285,
65,CrisisFACTS-003-r9,nut-kslab01,0.5263157894736842,0.14285714285714285,
66,CrisisFACTS-003-r9,IRLabIITBHU_DFReeKLIM_1,0.3684210526315789,0.1,
67,CrisisFACTS-003-r9,Siena.FactTrigrams1,0.4,0.12857142857142856,
68,CrisisFACTS-003-r9,baseline.v2,0.3684210526315789,0.1,
69,CrisisFACTS-003-r9,IRLabIITBHU_BM25_1,0.4,0.11428571428571428,
70,CrisisFACTS-003-r10,V-TorontoMU_USE_4,0.1,0.04411764705882353,
71,CrisisFACTS-003-r10,nm-gpt35-bm25,0.5555555555555556,0.17647058823529413,
72,CrisisFACTS-003-r10,nm-gpt35,0.75,0.20588235294117646,
73,CrisisFACTS-003-r10,Thesis_Retriver,0.575,0.19117647058823528,thesis.v1
74,CrisisFACTS-003-r10,Human_Info_Lab-FM-A,0.05,0.029411764705882353,
75,CrisisFACTS-003-r10,Human_Info_Lab-FM-B,0.2,0.058823529411764705,
76,CrisisFACTS-003-r10,llama,0.6666666666666666,0.11764705882352941,
77,CrisisFACTS-003-r10,baseline.v1,0.7,0.20588235294117646,
78,CrisisFACTS-003-r10,Siena.FactTrigrams1,0.631578947368421,0.17647058823529413,
79,CrisisFACTS-003-r10,nut-kslab01,0.6,0.19117647058823528,
80,CrisisFACTS-003-r10,Siena.WikiTrigrams1,0.7,0.22058823529411764,
81,CrisisFACTS-003-r10,IRLabIITBHU_BM25_1,0.375,0.1323529411764706,
82,CrisisFACTS-003-r10,baseline.v2,0.575,0.17647058823529413,
83,CrisisFACTS-003-r10,IRLabIITBHU_DFReeKLIM_1,0.5263157894736842,0.16176470588235295,
84,CrisisFACTS-003-r11,nm-gpt35,0.029411764705882353,0.5,
85,CrisisFACTS-003-r11,nm-gpt35-bm25,0.02631578947368421,0.5,
86,CrisisFACTS-003-r11,Human_Info_Lab-FM-A,0.0,0.0,
87,CrisisFACTS-003-r11,Human_Info_Lab-FM-B,0.0,0.0,
88,CrisisFACTS-003-r11,V-TorontoMU_USE_4,0.0,0.0,
89,CrisisFACTS-003-r11,Siena.FactTrigrams1,0.0,0.0,
90,CrisisFACTS-003-r11,IRLabIITBHU_BM25_1,0.025,0.5,
91,CrisisFACTS-003-r11,IRLabIITBHU_DFReeKLIM_1,0.025,0.5,
92,CrisisFACTS-003-r11,Siena.WikiTrigrams1,0.025,0.5,
93,CrisisFACTS-003-r11,baseline.v1,0.025,0.5,
94,CrisisFACTS-003-r11,baseline.v2,0.025,0.5,
95,CrisisFACTS-003-r11,nut-kslab01,0.025,0.5,
96,CrisisFACTS-003-r11,Thesis_Retriver,0.0,0.0,thesis.v1
97,CrisisFACTS-004-r8,nm-gpt35-bm25,0.3,0.13333333333333333,
98,CrisisFACTS-004-r8,llama,0.631578947368421,0.26666666666666666,
99,CrisisFACTS-004-r8,IRLabIITBHU_BM25_1,0.05,0.022222222222222223,
100,CrisisFACTS-004-r8,IRLabIITBHU_DFReeKLIM_1,0.15,0.06666666666666667,
101,CrisisFACTS-004-r8,V-TorontoMU_USE_4,0.029411764705882353,0.022222222222222223,
102,CrisisFACTS-004-r8,nut-kslab01,0.0,0.0,
103,CrisisFACTS-004-r8,Human_Info_Lab-FM-B,0.35,0.15555555555555556,
104,CrisisFACTS-004-r8,Human_Info_Lab-FM-A,0.0,0.0,
105,CrisisFACTS-004-r8,nm-gpt35,0.631578947368421,0.26666666666666666,
106,CrisisFACTS-004-r8,Siena.WikiTrigrams1,0.05,0.022222222222222223,
107,CrisisFACTS-004-r8,Thesis_Retriver,0.0,0.0,thesis.v1
108,CrisisFACTS-004-r8,Siena.FactTrigrams1,0.0,0.0,
109,CrisisFACTS-004-r8,baseline.v1,0.075,0.044444444444444446,
110,CrisisFACTS-004-r8,baseline.v2,0.25,0.1111111111111111,
111,CrisisFACTS-004-r9,nm-gpt35,0.8333333333333334,0.23728813559322035,
112,CrisisFACTS-004-r9,nm-gpt35-bm25,0.8214285714285714,0.23728813559322035,
113,CrisisFACTS-004-r9,Human_Info_Lab-FM-A,0.3,0.13559322033898305,
114,CrisisFACTS-004-r9,V-TorontoMU_USE_4,0.525,0.2033898305084746,
115,CrisisFACTS-004-r9,Human_Info_Lab-FM-B,0.7,0.2542372881355932,
116,CrisisFACTS-004-r9,llama,1.0,0.01694915254237288,
117,CrisisFACTS-004-r9,IRLabIITBHU_BM25_1,0.75,0.2711864406779661,
118,CrisisFACTS-004-r9,IRLabIITBHU_DFReeKLIM_1,0.75,0.2711864406779661,
119,CrisisFACTS-004-r9,Siena.FactTrigrams1,0.775,0.2711864406779661,
120,CrisisFACTS-004-r9,baseline.v1,0.725,0.2711864406779661,
121,CrisisFACTS-004-r9,baseline.v2,0.75,0.2711864406779661,
122,CrisisFACTS-004-r9,nut-kslab01,0.725,0.2711864406779661,
123,CrisisFACTS-004-r9,Thesis_Retriver,0.75,0.03389830508474576,thesis.v1
124,CrisisFACTS-004-r9,Siena.WikiTrigrams1,0.625,0.23728813559322035,
125,CrisisFACTS-004-r10,nm-gpt35-bm25,0.475,0.23809523809523808,
126,CrisisFACTS-004-r10,V-TorontoMU_USE_4,0.05,0.023809523809523808,
127,CrisisFACTS-004-r10,nm-gpt35,0.5357142857142857,0.21428571428571427,
128,CrisisFACTS-004-r10,Human_Info_Lab-FM-A,0.1,0.047619047619047616,
129,CrisisFACTS-004-r10,Human_Info_Lab-FM-B,0.25,0.14285714285714285,
130,CrisisFACTS-004-r10,llama,0.5833333333333334,0.16666666666666666,
131,CrisisFACTS-004-r10,Siena.FactTrigrams1,0.4,0.21428571428571427,
